Parameter name,HW Name ,Description,Arch comments,Implementation comments,per Device/port/VL,Spec Size,HW Size,Counting Unit,Generating Unit,Units,CX-7,CX-8,QM-2,QM-3,SP-5,GB100,GR100,MAD Class,Attribute ID,Attribute Name,Field name,PRM reg ID,PRM register,PRM Group / page,PRM field,BMC (command.field),Supported HW intefaces ,Frequency changes,Verified or not
ExcessiveBufferOverrun,excessive_buffer_err_inc,"The number of times that OverrunErrors consecutive flow control update periods occurred, each having at least one overrun error;",,,Port,"4
64",64,LLU,LLU,Packets,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",ExcessiveBufferOverrun,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",excessive_buffer_overrun_errors,,,,
VL15Dropped,vl15_dropped_inc,"Number of incoming VL15 packets dropped due to resource limitations (e.g., lack of buffers) in the port",Note: FW must sum the counters from the LLU and DCM,"Pelican has 2 counters: DCM, LLU. FW needs to sum them",Port,"16
64",64,"LLU, DCM","LLU checks the buffer overrun for VL15
FTO -> FDB - discard reason: VL15 overrun discard",Packets,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",VL15Dropped,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",vl_15_dropped,,,,
QP1Dropped,qp1_dropped,"Number of QP1 MADs (packets) dropped due to resource limitations (e.g., lack of buffers or receives posted) on the port. Only valid on end ports",,,Port,"16
64",64,CLU RX,,Packets,V,V,-,-,-,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",QP1Dropped,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",qp1_dropped,,,,
PortXmitData,port_xmit_data_inc,"Total number of data octets, divided by 4, transmitted on all VLs from the port. This includes all octets between (and not including) the start of packet delimiter and the VCRC, and may include packets containing errors. It excludes all link packets.","The counter does not count ARN packets

count in bytes. 
IBg1 not inclding the VCRC
IBg2 including FCS


to extract data counters per protocol :
IBg2: has its own counter: port_xmit_ibg2_data
NVL: data VL counter - NVL use unique VL
IBg1: PortRcvData - port_xmit_ibg2_data - NVL

Refer to Visibility IAS SD, BW counters section, for more information

",,Port,"32
64",64,LLU,LLU (TX),Bytes,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortXmitData,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_xmit_data,,,,
port_xmit_ibg2_data,port_xmit_ibg2_data_inc,Counts IBg2 data sent including FCS. ,"count in bytes, with FCS",,Port,-,64,LLU,LLU (TX),Bytes,-,V,-,V,V,-,-,,,,,,,,,,,,
PortRcvData,port_rcv_data_inc,"Total number of data octets, divided by 4, received on all VLs at the port. This includes all octets between (and not including) the start of packet delimiter and the VCRC, and may include packets containing errors.","The counter does not count ARN packets and flow-control packets. It does count also packets including errors (except packets shorter than 22B)

count in bytes. 
IBg1 not inclding the VCRC
IBg2 including FCS


to extract data counters per protocol :
IBg2: has its own counter: port_rcv_ibg2_data
NVL: data VL counter - NVL use unique VL
IBg1: PortRcvData - port_rcv_ibg2_data - NVL

Refer to Visibility IAS SD, BW counters section, for more information",,Port,"32
64",64,LLU,LLU,Data,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortRcvData,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_rcv_data,,,,
port_rcv_ibg2_data,port_rcv_data_ibg2_inc,Counts IBg2 data sent including FCS. ,"count in bytes, with FCS",,Port,-,64,LLU,LLU (TX),Data,-,V,-,V,V,-,-,,,,,,,,,,,,
PortXmitPkts,"port_xmit_pkts_inc	",Total number of packets transmitted on all VLs from the port. This may include packets with errors ,"The counter does not count ARN packets and flow-control packets. 
It does count also packets including errors (by configuration - default is: count)",,Port,"32
64",64,LLU,LLU (TX),Packets,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortXmitPkts,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_xmit_pkts,,,,
port_xmit_ibg1_pkts,port_xmit_ibg1_pkts,Total number of IBg1 packets transmitted on all VLs from the port. This may include packets with errors ,packets transmitted per packet type,,Port,-,64,LLU,LLU (TX),Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,packet_type_counters,port_xmit_ibg1_non_nvl_pkts,,,,
port_xmit_ibg2_pkts,port_xmit_ibg2_pkts,Total number of IBg2 packets transmitted on all VLs from the port. This may include packets with errors ,packets transmitted per packet type,,Port,-,64,LLU,LLU (TX),Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,packet_type_counters,port_xmit_ibg2_pkts,,,,
port_xmit_nvl_pkts,port_xmit_nvl_pkts,Total number of NVL packets transmitted on all VLs from the port. This may include packets with errors ,packets transmitted per packet type,,Port,-,64,LLU,LLU (TX),Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,packet_type_counters,port_xmit_ibg1_nvl_pkts,,,,
PortRcvPkts,"port_rcv_pkts_inc	","Total number of received packets, including packets containing errors.",The counter does not count ARN packets and flow-control packets. It does count also packets including errors (except packets shorter than 22B),,Port,"32
64",64,LLU,LLU,Packets,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortRcvPkts,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_rcv_pkts,Port Telemetry Counters.port_rcv_pkts ,,,
port_rcv_ibg1_pkts,gr port_rcv_ibg1_pkts ,Total number of IBg1 packets received from all VLs from the port. This may include packets with errors ,packets transmitted per packet type,,Port,-,64,LLU,LLU (RX),Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,packet_type_counters,port_rcv_ibg1_non_nvl_pkts,,,,
port_rcv_ibg2_pkts,port_rcv_ibg2_pkts,Total number of IBg2 packets received from all VLs from the port. This may include packets with errors ,packets transmitted per packet type,,Port,-,64,LLU,LLU (RX),Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,packet_type_counters,port_rcv_ibg2_pkts,,,,
port_rcv_nvl_pkts,port_rcv_nvl_pkts,Total number of NVL packets received from all VLs from the port. This may include packets with errors ,packets transmitted per packet type,,Port,-,64,LLU,LLU (RX),Packets,-,V,-,V,V,V,V,,,,,0x5008,PPCNT,packet_type_counters,port_rcv_ibg1_nvl_pkts,,,,
port_end_poison_packet,poison_packet_inc,Number of incoming packets with poison end packet bit set.,RX - incoming packets with poison end packet,,Port,-,64,LLU,LLU (RX),Packets,-,V,-,V,-,-,-,-,-,-,-,0x5008,PPCNT,infiniband_general_counters,port_receive_poison,,,,
ContainNDrainDiscardsRcv,cnd_discards_inc,Packets discarded due to contain and drain - rx side,packets discarded due to contain and drain - rx side,,Port,-,64,LLU,LLU (RX),Packets,-,-,-,V,-,-,-,-,-,-,-,-,-,-,-,,,,
ContainNDrainDiscardsXmit,contain_n_drain_discard,Packets discarded due to contain and drain - tx side,packets discarded due to contain and drain - tx side,,Port,-,64,LLU_TX,DCM,Packets,-,-,-,V,-,-,-,-,-,-,-,-,-,-,-,,,,
EgressPkeyLimitedMCPacketErrors,"egress_pkey_limited_mc_packet_errors	",,Count on egress pkey membership errors for IBg1 MC packets,,Port,-,64,LLU_TX,DCM,Packets,-,-,-,V,-,-,-,-,-,-,-,-,-,-,-,,,,
Due_discards,due_discards,The number of packets that have dropped due to ASIC parity errors  (DUE - Detectable Unrecoverable Errors),Count event of DUE errors - tx side (parity error),,Port,,64,LLU_TX,DCM,Packets,-,-,-,V,,-,-,-,-,-,-,-,-,-,-,,,,
DropBETrap,count_trap_drop,"Number of packets that were supposed to be trapped on the egress port, and weren’t trapped due to lack of resources. ",,,Port,,64,LLU_TX,DCM,Packets,-,-,-,V,,-,-,-,-,-,-,-,-,-,-,,,,
DropBEMirrorTx,count_emirror_drop,"Number of emirrored packets on the egress port, that were supposed to be trapped and weren’t trapped due to lack of resources.  (Not relevant for Sunbird- doesn't support Emirror) "," One counter for all mirror agents, drop events due to best-effort in the elogger",,Port,,64,LLU_TX,DCM,Packets,-,-,-,V,,-,-,,,,,-,-,-,-,,,,
RqError,rq_error,,,,Port,,64,LLU,LLU_RX (passing through DCM),Packets,-,-,V,V,,-,-,,,,,,,,,,,,
PortXmitWait,"dqs2llu_xmit_wait_global +
dqs2llu_xmit_wait_arb_global","The number of ticks during which the port selected by PortSelect had data to transmit but no data was sent during the entire tick either because of insufficient credits or because of lack of arbitration.
Notice: due to design complexity- the FW responds with the number insufficient credits Only. ",buffer,"there are 2 counters per port  - one counts no credits and second arbitration. 
Configuration per port if to count (cred|arb) on the arb counter",Port,"32
64",64,LLU,DQS,Ticks,V,V,V,V,V,V,V,0x4- PM,"0x0012
0x001D","PortCounters
PortCountersExtended",PortXmitWait,0x5008,PPCNT,"infiniband_port_counters_attribute
infiniband_extended_port_counters_attribute",port_xmit_wait,,,,
PortXmitWaitCredit,"dqs2llu_xmit_wait
dqs2llu_xmit_wait_arb",the number of ticks during which the port selected by PortSelect had data to transmit but no data was sent during the entire tick because of insufficient credits,buffer,"there are 2 counters per port  - one counts no credits and second arbitration. 
Configuration per port if to count (cred|arb) on the arb counter",Port,-,64,LLU,DQS,Ticks,V,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_vl_counters,dqs2llu_xmit_wait,,,,
PortXmitWaitArb,dqs2llu_xmit_wait_arb_global,the number of ticks during which the port selected had data to transmit but no data was sent during the entire tick because of lack of arbitration.,buffer,"there are 2 counters per port  - one counts no credits and second arbitration. 
Configuration per port if to count (cred|arb) on the arb counter",Port,-,64,LLU,DQS,Ticks,V,V,V,V,V,V,V,,,,,0x5008,PPCNT,infiniBand_vl_counters,dqs2llu_xmit_wait_arb,,,,
PortXmitDataVL,port_xmit_data*_inc,Number of Bytes transmitted on Vl *. ,"The counter does not count ARN packets, 
It does count also bytes of packets with EBP (doesn't include the EBP)

count in bytes. 
IBg1 not inclding the VCRC
IBg2 including FCS

Refer to Visibility IAS SD, BW counters section, for more information",,VL,,64,LLU,LLU (TX),Bytes,V,V,V,V,?,V,V,0xA,0x0074,PortXmitDataVLExtended,PortXmitDataVLExtended,0x5008,PPCNT,infiniBand_vl_counters,port_xmit_data_vl,,,,
PortRcvDataVL,port_rcv_data_vl*_inc,Number of Bytes received on Vl *. ,"The counter does not count ARN packets and flow-control packets. 
It does count also packets including errors (except packets shorter than 22B)

count in bytes. 
IBg1 not inclding the VCRC
IBg2 including FCS

Refer to Visibility IAS SD, BW counters section, for more information",,VL,,64,LLU,LLU,Bytes,V,V,V,V,?,V,V,0xA,0x0073,PortRcvDataVLExtended,PortRcvDataVLExtended,0x5008,PPCNT,infiniBand_vl_counters,port_rcv_data_vl,,,,
PortXmitPktsVL,port_xmit_pkts*_inc,Number of Packets transmitted on Vl *. ,The counter does not count ARN packets,,VL,,64,LLU,LLU (TX),Packets,V,V,V,V,?,V,V,0xA,0x0076,PortXmitPktsVLExtended,PortXmitPktsVLExtended,0x5008,PPCNT,infiniBand_vl_counters,port_xmit_pkts_vl,,,,
PortRcvPktsVL,port_rcv_pkts_vl*_inc,Number of Packets received on Vl *. ,The counter does not count ARN packets and flow-control packets. It does count also packets including errors (except packets shorter than 22B),,VL,,64,LLU,LLU,Packets,V,V,V,V,?,V,V,0xA,0x0075,PortRcvPktsVLExtended,PortRcvPktsVLExtended,0x5008,PPCNT,infiniBand_vl_counters,port_rcv_pkts_vl,,,,
PortLocalPhysicalErrors,port_local_phy_err_inc,"Number of packets received on the port that contain local physical errors (ICRC, VCRC, LPCRC, and all physical errors that cause entry into the BAD PACKET or BAD PACKET DISCARD states of the packet  receiver state machine).",PortRcvErrorDetail:PortLocalPhysicalErrors,"vcrc for data packet
crc for credit packet
credits packet not 8B
phy error",Port,16,64,LLU,"PLU, LLU",Events,V,V,V,V,?,V,V,0x4- PM,0x0015,PortRcvErrorDetails,PortLocalPhysicalErrors,0x5008,PPCNT,infiniBand_packets_counters,port_local_physical_errors,,,,
PortMalformedPacketErrors,port_malformed_pkts_inc,"Number of packets received on the port that contain malformed packet errors:
• Data packets: LVer, length, VL
• Link packets: operand, length, VL","PortRcvErrorDetail:PortMalformedPacketErrors, notice data vs link packets","• Data packets: LVer, length, VL
• Link packets: operand, length, VL",Port,16,64,LLU,LLU,Packets,V,V,V,V,?,V,V,0x4- PM,0x0015,PortRcvErrorDetails,PortMalformedPacketErrors,0x5008,PPCNT,infiniBand_packets_counters,port_malformed_packet_errors,,,,
PortBufferOverrunErrors,port_buffer_overrun_err_inc,Number of packets received on the port that were discarded due to buffer overrun. When working in lossless VLs- should not occur ,PortRcvErrorDetail:PortBufferOverrunErrors,"buffer overrun, Total number of packets received on the port that were discarded due to buffer overrun",Port,16,64,LLU,LLU,Packets,V,V,V,V,?,V,V,0x4- PM,0x0015,PortRcvErrorDetails,PortBufferOverrunErrors,0x5008,PPCNT,infiniBand_packets_counters,port_buffer_overrun_errors,,,,
PortDLIDMappingError,port_dlid_mapping_err_inc,"Total number of packets received on the port that were discarded because they could not be forwarded by the switch relay due to DLID mapping errors. for CAs: one of the following conditions is met:
• DLID is a unicast LID of this CA Port, or
• DLID is a multicast LID (i.e. in the range 0xc000 to 0xfffe), or
• DLID is 0xFFFF (the permissive LID) and VL is 15
for switches and routers: DLID is not 0x0000.","PortRcvErrorDetail, counts the number of DLID errors (0,over the TOP), Discard reason = PortDLIDMappingError","LLU generated reasons are counted in LLU.
Before Blackbird:FDB generated reasons were counted in LLU.
Blackbird: FDB generated reasons counted in FDB.",Port,16,64,LLU+FDB,"LLU - link dlid0
FDB - discard reasons: PortDlidMapping
Router: LLU also checks for ""not my DLID + LMC""",Packets,V,V,V,V,?,-,-,0x4- PM,0x0015,PortRcvErrorDetails,PortDLIDMappingErrors,0x5008,PPCNT,infiniBand_packets_counters,port_dlid_mapping_errors,,,,
PortVLMappingError,port_vl_mapping_error,"Packet discards due to VL mapping behavior are not considered errors, so the behavior of this counter is implementationdependent. However, it is recommended that this counter be used to count  he total number of packets received on the port that were discarded because they could not be forwarded by the switch relay due to VL mapping behavior","PortRcvErrorDetail, counts the number SL2VL errors, Discard reason = PortVLMappingError","Before Blackbird: generated in FDB and counted in LLU.
Blackbird: generated+counted in FDB.",Port,16,64,FDB,FDB - discard reasons: PortVlMapping,Packets,-,-,V,V,?,-,-,0x4- PM,0x0015,PortRcvErrorDetails,PortVLMappingErrors,0x5008,PPCNT,infiniBand_packets_counters,port_vl_mapping_errors,,,,
PortLoopingErrors,port_looping_errors,Number of packets received on the port that were discarded because they could not be forwarded by the switch relay due to looping errors (output port = input port). This applies to switches only. ,"PortRcvErrorDetail, Counts the number of packets dropped by the FDB due to loopback errors, Discard reason = LB_Discard","Before Blackbird: generated in FDB and counted in LLU.
Blackbird: generated+counted in FDB.",Port,16,64,FDB,FDB - discard reasons: LB_Discard,Packets,-,-,V,V,?,-,-,0x4- PM,0x0015,PortRcvErrorDetails,PortLoopingErrors,0x5008,PPCNT,infiniBand_packets_counters,port_looping_errors,,,,
PortInactiveDiscards,port_inactive_discards,Number of outbound packets discarded by the port because it is not in the active state.,,"DQS discard reason - PortInactiveDiscards
counted in LLU_TX",Port,16,64,LLU,"DQS - discard reason: LinkDiscard
LLU (TX) - link down",Packets,-,-,V,V,?,-,-,0x4- PM,0x0016,PortXmitDiscardDetails,PortInactiveDiscards,0x5008,PPCNT,infiniBand_packets_counters,port_inactive_discards,,,,
PortNeighborMTUDiscards,port_neighbor_mtu_discards,Number of outbound packets discarded by the port because packet length exceeded the PortInfo:NeighborMTU.,,DCM generate the INC and LLU counts it,Port,16,64,LLU,DCM (TX) - NeighborMTU,Packets,-,-,V,V,?,-,-,0x4- PM,0x0016,PortXmitDiscardDetails,PortNeighborMTUDiscards,0x5008,PPCNT,infiniBand_packets_counters,port_neighbor_mtu_discards,,,,
PortSwLifetimeLimitDiscards,port_sw_lifetime_limit_discards,Number of outbound packets discarded by the port because the Switch Lifetime Limit was exceeded. Applies to switches only.,,DCM generate the INC and LLU counts it,Port,16,64,LLU,PTB - Discard reason : SLL,Packets,-,-,V,V,?,-,-,0x4- PM,0x0016,PortXmitDiscardDetails,PortSwLifetimeLimitDiscards,,,,,,,,
PortSwHOQLifetimeLimitDiscards,port_sw_hoq_lifetime_limit_discards,Number of outbound packets discarded by the port because the switch HOQ Lifetime Limit was exceeded. Applies to switches only.,,DCM generate the INC and LLU counts it,Port,16,64,LLU,DQS - discard reason: HOQLL,Packets,-,-,V,V,?,-,-,0x4- PM,0x0016,PortXmitDiscardDetails,PortSwHOQLifetimeLimitDiscards,0x5008,PPCNT,infiniband_general_counters,port_sw_hoq_lifetime_limit_discards,,,,
PortXmitFlowPkts,port_xmit_flow_pkts_inc,"Number of Credit packets in Tx (to Plu)	",,Counts also credit preemption packets,Port,32,64,LLU,LLU,Packets,V,V,V,V,V,V,V,0x4- PM,0x0018,PortFlowCtlCounters,PortXmitFlowPkts,-,-,-,-,,,,
PortRcvFlowPkts,port_rcv_flow_pkts_inc,"Number of Credit packets in Rx (From Plu)	",,Counts also credit preemption packets,Port,32,64,LLU,LLU,Packets,V,V,V,V,V,V,V,0x4- PM,0x0018,PortFlowCtlCounters,PortRcvFlowPkts,-,-,-,-,,,,
PortVLXmitFlowCtlUpdateErrors,flc_vl*_timeout ,Number of events that specify that No flow control packets arrived on this vl for configurable time window. (has default value per device) ,"flc_vlX_timouet , no updates of flow control on this vl for configurable time window",,VL,2,64,LLU,LLU,Events,V,V,V,V,?,-,?,"0x4- PM
0xA","0x001B
0x007B","PortVLXmitFlowCtlUpdateErrors
CreditWatchdogTimeoutCounters","PortVLXmitFlowCtlUpdateErrors
vl*_credit_watchdog_timeout",-,-,-,-,,,,
PortVLXmitWait_X,"dqs2llu_xmit_wait_*
dqs2llu_xmit_wait_arb_*","the number of ticks during which the VL selected had data to transmit but no data was sent during the entire tick either because of insufficient credits or because of lack of arbitration.
Counters per vl - one counts no credits ticks, and the second counts arbitration xmit wait ticks. ",Represents 64b per tick,"there are 2 counters per vl - one counts no credits and second arbitration. 
Configuration per port if to count (cred|arb) on the arb counter",VL,,64,LLU,DQS,Ticks,V,V,V,V,?,V,?,0xA,0x0077,PortXmitWaitVLExtended,PortXmitWaitVLExtended,0x5008,PPCNT,infiniBand_vl_counters,dqs2llu_xmit_wait,,,,
SWPortVLCongestion,sw_port_vl_congestion*,"Total number of packets to be transmitted on VL * of the output port selected  that were discarded because of congestion. This includes the following reasons:
• Switch Lifetime Limit exceeded
• Switch HOQ Lifetime Limit exceeded","HLL+SLL, perVL",,VL,16,64,LLU,"DQS - discard reason: HOQLL
PTB - SLL",Packets,-,-,V,V,?,-,-,"0x4- PM
0xA",0x0030,"SwPortVLCongestion
PortVLXmitTimeCongExtended","SWPortVLCongestion*
PortVLXmitTimeCongExtended",,,,,,,,
PortXmitTimeCong,dqs2llu_time_cong_global,Number of ticks during which the port selected was in the congested state on any VL,,,Port,,64,LLU,DQS,Ticks,V,V,V,V,?,-,?,"0x4- PM
0xA",0x0011,PortSamplesResult,PortXmitTimeCong,,,,,,,,
PortVLXmitTimeCong,dqs2llu_time_cong_*,Number of ticks during which the VL selected was in the congested state,LLU per flowq,,VL,32,64,LLU,DQS,Ticks,V,V,V,V,?,-,?,"0x4- PM
0xA",0x0035,PortVLXmitTimeCong,PortVLXmitTimeCong,,,,,,,,
PortXmitDataSL,"port_xmit_data_sl*_inc	",Number of Bytes received on SL *. ,"count in bytes. 
IBg1 not inclding the VCRC
IBg2 including FCS

Bug in LLU TX - not count for IBg2 packets.

The counter is disabled when IBg2 is active.",,SL,,64,LLU,LLU (TX),Bytes,V,V,V,V,?,-,?,"0x4- PM
0xA","0x0036
0x0038","PortXmitDataSL
PortXmitDataSLExt","PortXmitDataSL*
PortXmitDataSL*Ext",,,,,,,,
PortRcvDataSL,"port_rcv_data_sl*_inc	",Number of Bytes sent on SL *. ,"count in bytes. 
IBg1 not inclding the VCRC
IBg2 including FCS

The counter is disabled when IBg2 is active.",,SL,,64,LLU,LLU,Bytes,V,V,V,V,?,-,?,"0x4- PM
0xA","0x0037
0x0039","PortRcvDataSL
PortRcvDataSLExt","PortRcvDataSL*
PortRcvDataSL*Ext",,,,,,,,
PortUnicastXmitPackets,"port_unicast_xmit_pkts_inc	",Total number of unicast packets transmitted on all VLs from the port. This may include unicast packets with errors,The counter does not count ARN packets,,Port,64,64,LLU,LLU (TX),Packets,,V,V,V,?,-,-,0x4- PM,0x001D,PortCountersExtended,PortUnicastXmitPackets,0x5008,PPCNT,infiniband_extended_port_counters_attrbiute,port_unicast_xmit_pkts,,,,
PortUnicastRcvPackets,port_unicast_rcv_pkts_inc,"Total number of unicast packets, including unicast packets containing errors",The counter does not count ARN packets and flow-control packets. It does count also packets including errors (except packets shorter than 22B),,Port,64,64,LLU,LLU,Packets,,V,V,V,?,-,-,0x4- PM,0x001D,PortCountersExtended,PortUnicastRcvPackets,0x5008,PPCNT,infiniband_extended_port_counters_attrbiute,port_unicast_rcv_pkts,,,,
PortMulticastXmitPackets,"port_multicast_xmit_pkts_inc	",Total number of multicast packets transmitted on all VLs from the port. This may include multicast packets with errors,The counter does not count ARN packets and flow-control packets.,,Port,64,64,LLU,LLU (TX),Packets,,V,V,V,?,-,-,0x4- PM,0x001D,PortCountersExtended,PortMulticastXmitPackets,0x5008,PPCNT,infiniband_extended_port_counters_attrbiute,port_multicast_xmit_pkts,,,,
